Date	Nom	Score	Erreurs
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 1/10 	 1,2,3,4,5,6,8,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 1/10 	 2,3,4,5,6,7,8,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 1/10 	 2,3,4,5,6,7,8,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 V V 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 J B 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 T T 	 1/10 	 1,2,3,4,5,6,8,9,10
18/06/2022 	 Q Q 	 1/10 	 1,3,4,5,6,8,9,10
18/06/2022 	 Q Q 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 Q Q 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 Q Q 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 Q Q 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 Q Q 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 toto asticot 	 4/10 	 1,3,6,7,9,10
18/06/2022 	 toto asticot 	 1/10 	 1,2,3,4,5,6,8,9,10
